Company;Website;Score;Primary Keyword Matches from EPO;Secondary Keyword Matches from EPO;Nuclear mentioned on website;Oil and Gas mentioned on website;Keyword Matches from Website;Tab Matches from Website;Patent #
Skirdle LLC;http://www.ohiocorporates.com;100;['microbial  (primary)'];[];;;;;EP3593791
Orsted Wind Power AS;https://orsted.com;120;['corrosion  (primary)'];[];;;['energy', 'energy', 'energy', 'Energy', 'energy', 'energy', 'energy', 'energy', 'energy', 'energy', 'energy', 'energy', 'energy', 'energy'];['Services'];EP3594411
Bacteromic Sp zoo;http://scopefluidics.com;75;['microbial  (primary)'];[];;;;;EP3597768
Vestel Elektronik Sanayi ve Ticaret AS;https://vestelinternational.com;200;[];['remote  (secondary)', 'sensor  (secondary)'];;;;['Products', 'Products', 'Products', 'Products'];EP3503432
Corevas & Co KG GmbH;https://www.corevas.de;150;[];['remote  (secondary)', 'sensor  (secondary)'];;;;;EP3503116
AU Optronics Corp;http://auo.com;195;[];['sensor  (secondary)', 'sensor  (secondary)'];;;['Energy', 'Energy', 'Energy', 'Energy'];['Applications', 'Applications'];EP3502852
Pioneer Materials Inc Chengdu;http://pioneer-materials.com;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;['Products'];EP3503191
Aptiv Technologies Ltd;https://www.aptiv.com;200;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;['Services'];EP3587194
Hioki Denki KK;https://www.hioki.com;245;[];['sensor  (secondary)', 'sensor  (secondary)'];;;['Energy', 'Energy', 'Energy', 'energy', 'Energy', 'energy', 'Energy', 'Energy', 'energy', 'Energy', 'energy', 'Energy'];['Products', 'Services'];EP3502713
Spacelabs Healthcare LLC;https://www.spacelabshealthcare.com;200;[];['remote  (secondary)', 'remote  (secondary)'];;;;['Products'];EP3503115
Korea Hydro and Nuclear Power Co Ltd;https://cbonds.com;210;[];['remote  (secondary)', 'sensor  (secondary)'];Y;;['Nuclear', 'Nuclear', 'Nuclear', 'nuclear', 'energy', 'Nuclear', 'Nuclear', 'Nuclear'];['Services'];EP3505902
Meridian Innovation Pte Ltd;https://www.meridianinno.com;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;;EP3505890
Harman International Industries Inc;https://www.harman.com;200;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;['Services'];EP3506169
Sumitomo Rubber Industries Ltd;https://www.srigroup.co.jp;185;[];['sensor  (secondary)', 'sensor  (secondary)'];;;['Energy', 'Energy'];['Products', 'Products', 'Industries', 'Products', 'Industries'];EP3505319
Tektronix Inc;http://www.tek.com;260;[];['remote  (secondary)', 'sensor  (secondary)'];;;['Energy', 'Energy'];['Products', 'Services', 'Applications', 'Industries', 'Products', 'Services', 'Applications', 'Industries'];EP3505942
Immersion Corp;https://www.immersion.com;150;[];['sensor  (secondary)', 'mapping  (secondary)'];;;;['Services'];EP3557385
Shanghai Weilian Information Technology Co Ltd;https://kando.tech;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;;EP3506549
Schreder SA;https://www.schreder.com;225;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;['Products', 'Products', 'Services'];EP3506724
Beijing Surgerii Technology Co Ltd;https://www.crunchbase.com;150;[];['remote  (secondary)', 'mapping  (secondary)'];;;;['Products', 'Industries'];EP3508163
Liang Cao;https://www.hitta.se;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;;EP3511686
Globus Medical Inc;https://www.globusmedical.com;205;[];['remote  (secondary)', 'sensor  (secondary)'];;;['energy'];['Products'];EP3510927
Hologic Inc;https://www.hologic.com;200;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;['Products'];EP3510930
